Note_ID,Note_Name,Chemical_Name,CAS,Volatility_Class,Odor_Strength,Accords_Used_In,Chemical_Family,Odor_Family,Key_Nuances,Molecular_Weight,Boiling_Point_C,Vapor_Pressure,LogP,Odor_Threshold_mg_L,Tenacity_hrs,Substantivity_Index,Flash_Point_C,Solubility,Natural_Source,Short_Description
NOTE-0104,Cinnamon,Cinnamaldehyde,104-55-2,Heart,Strong,"Spicy, Gourmand",Aldehyde,Spicy / Sweet,"Hot, sweet, spicy",132.16,248,Medium,2.1,0.01,4–6,45.0,71.0,Alcohol,Cinnamon bark,Hot sweet spice
NOTE-0119,Clove,Eugenol,97-53-0,Heart,Strong,"Spicy, Oriental",Phenylpropene,Spicy / Sweet,"Sweet, clove-like",164.2,254,Medium,2.1,0.01,4–6,50.0,110.0,Alcohol,Clove buds,Sweet spicy clove
NOTE-0081,Cardamom,"1,8-Cineole rich",8000-66-6,Top,Medium,"Spicy, Aromatic",Oxide,Spicy / Fresh,"Fresh, citrusy",154.25,176,Medium,2.8,0.02,2–3,25.0,49.0,Alcohol,Cardamom pods,Fresh aromatic spice
NOTE-0172,Ginger,Zingiberene,8007-08-7,Top / Heart,Medium,"Spicy, Fresh",Sesquiterpene,Spicy / Fresh,"Warm, citrusy",204.35,250,Medium,4.0,0.02,2–4,30.0,95.0,Alcohol,Ginger root,Fresh warm spice
NOTE-0683,Safflower,Oleic esters,8001-23-8,Base,Low,Soft Floral,Fatty Ester,Soft / Powdery,"Soft, oily",282.46,300,Low,5.2,0.001,8–12,60.0,150.0,Alcohol,Safflower oil,Soft powdery base
NOTE-0670,Iris (Orris),Irone,8015-13-9,Base,Medium,"Floral, Powdery",Ketone,Powdery / Floral,"Powdery, violet",206.33,295,Low,3.5,0.001,24+,90.0,130.0,Alcohol,Iris rhizome,Luxurious powdery
NOTE-0262,Mimosa,Anisic aldehyde rich,8016-87-3,Heart,Medium,"Floral, Powdery",Aromatic Aldehyde,Floral / Powdery,"Soft, powdery",136.15,248,Medium,2.3,0.01,4–6,40.0,82.0,Alcohol,Mimosa flowers,Soft floral powder
NOTE-0354,Sandalwood,α-Santalol,8006-87-9,Base,Medium,"Woody, Oriental",Sesquiterpene Alcohol,Woody / Creamy,"Creamy, soft, woody",220.35,302,Low,4.3,0.001,24+,92.0,110.0,Alcohol / Oil,Sandalwood heartwood,Creamy woody base
NOTE-0094,Cedarwood,Cedrol,77-53-2,Base,Medium,"Woody, Aromatic",Sesquiterpene Alcohol,Woody / Dry,"Dry, pencil-like",222.37,287,Low,4.5,0.002,12–24,80.0,104.0,Alcohol / Oil,Cedarwood,Dry woody backbone
NOTE-0416,Vetiver,Vetiverol,8016-96-4,Base,Medium,"Woody, Green",Sesquiterpene Alcohol,Woody / Earthy,"Earthy, smoky",222.37,290,Low,4.2,0.001,24+,90.0,115.0,Alcohol,Vetiver root,Earthy woody depth
NOTE-0301,Patchouli,Patchoulol,8014-09-3,Base,Medium,"Woody, Chypre",Sesquiterpene Alcohol,Woody / Earthy,"Damp, earthy",222.37,285,Low,4.1,0.001,24+,88.0,110.0,Alcohol,Patchouli leaves,Dark earthy wood
NOTE-0280,Oakmoss,Atranol rich,90028-68-5,Base,Medium,"Chypre, Fougere",Lichen Extract,Mossy / Earthy,"Damp, bitter",250+,300,Low,3.8,0.001,24+,85.0,120.0,Alcohol,Oakmoss lichen,Mossy forest base
NOTE-0087,Cashmeran,Cashmeran,33704-61-9,Base,Medium,"Woody, Musky",Polycyclic Ketone,Woody / Musky,"Warm, musky, woody",206.33,241,Low,4.4,0.0005,18–24,85.0,96.0,Alcohol,Synthetic,Soft musky wood
NOTE-0021,Ambroxan,Ambroxide,6790-58-5,Base,Medium,"Amber, Woody",Amberoid,Amber / Woody,"Warm, dry, amber",236.39,273,Very Low,4.6,0.0002,24+,95.0,130.0,Alcohol,Synthetic / ambergris,Modern amber fixative
NOTE-0684,Norlimbanol,Norlimbanol,66355-00-4,Base,Strong,"Woody, Amber",Polycyclic Alcohol,Woody / Amber,"Dry, powerful",238.37,285,Very Low,5.2,0.0001,24+,98.0,140.0,Alcohol,Synthetic,Extremely powerful wood
NOTE-0650,Kephalis,Kephalis,,Base,Strong,"Amber, Tobacco",Amber Ketone,Amber / Tobacco,"Warm, smoky",260.4,295,Very Low,5.0,0.0003,24+,92.0,135.0,Alcohol,Synthetic,Tobacco-amber depth
NOTE-0630,Timberol,Timberol,70788-30-6,Base,Medium,"Woody, Amber",Terpene Alcohol,Woody / Amber,"Dry, amber",238.37,290,Very Low,4.9,0.0002,24+,90.0,130.0,Alcohol,Synthetic,Dry amber wood
NOTE-0505,Galaxolide,HHCB,1222-05-5,Base,Medium,"Musky, Fresh",Polycyclic Musk,Musky / Clean,"Clean, soft musk",258.4,300,Very Low,5.9,0.0005,24+,85.0,150.0,Alcohol,Synthetic,Clean laundry musk
NOTE-0608,Tonalid,AHTN,1506-02-1,Base,Medium,"Musky, Floral",Polycyclic Musk,Musky / Sweet,"Sweet, powdery",258.4,300,Very Low,5.7,0.0006,24+,83.0,150.0,Alcohol,Synthetic,Sweet powdery musk
NOTE-0609,Muscone,Muscone,541-91-3,Base,Strong,"Musky, Animalic",Macrocyclic Ketone,Musky / Animalic,"Warm, animalic",238.37,330,Very Low,4.3,0.0001,24+,95.0,160.0,Alcohol,Natural / synthetic,Classic animalic musk
NOTE-0666,Exaltolide,Exaltolide,0106-02-5,Base,Medium,"Musky, Floral",Macrocyclic Lactone,Musky / Creamy,"Creamy, soft",270.4,340,Very Low,4.6,0.0002,24+,92.0,165.0,Alcohol,Synthetic,Soft creamy musk
NOTE-0610,Civetone,Civetone,542-46-1,Base,Strong,"Animalic, Musky",Macrocyclic Ketone,Animalic / Musky,"Animalic, warm",250.4,330,Very Low,4.5,0.0001,24+,96.0,160.0,Alcohol,Synthetic,Animalic musk base
NOTE-0090,Castoreum,Phenolic compounds,8023-83-4,Base,Strong,"Leather, Animalic",Animalic Extract,Animalic / Leathery,"Leathery, smoky",300+,300,Low,3.9,0.001,24+,90.0,120.0,Alcohol,Castor sacs,Leathery animalic
NOTE-0224,Leather Accord,Isoquinoline blend,-,Base,Medium,"Leather, Woody",Aromatic Blend,Leather / Smoky,"Dry, leathery",—,—,Low,4.0,0.001,12–24,80.0,110.0,Alcohol,Synthetic blend,Dry leather accord
NOTE-0075,Cade Oil,Phenolic compounds,8000-27-9,Base,Strong,"Leather, Smoky",Phenol / Tar,Smoky / Leather,"Ashy, smoky, burnt",94–200,280,Low,3.6,0.001,12–24,85.0,105.0,Alcohol,Juniper wood,Burnt smoky leather
NOTE-0572,Guaiacol,Guaiacol,90-05-1,Heart / Base,Strong,"Smoky, Medicinal",Phenol,Smoky / Medicinal,"Burnt, phenolic",124.14,205,Medium,1.3,0.01,6–10,60.0,81.0,Alcohol,Wood tar,Sharp smoke molecule
NOTE-0667,Phenylacetic Acid,Phenylacetic acid,103-82-2,Base,Medium,"Honey, Animalic",Aromatic Acid,Honey / Animalic,"Honeyed, urinous",136.15,265,Low,1.3,0.005,8–12,65.0,93.0,Alcohol,Natural / synthetic,Honey-animalic warmth
NOTE-0657,Maltol,Maltol,118-71-8,Heart,Medium,Gourmand,Lactone,Sweet / Gourmand,"Caramel, cotton candy",126.11,161,Medium,0.0,0.01,4–6,40.0,93.0,Alcohol,Larch bark,Sweet caramel sugar
NOTE-0495,Ethyl Maltol,Ethyl maltol,4940-11-8,Heart,Medium,Gourmand,Lactone,Sweet / Gourmand,"Candy, burnt sugar",140.14,161,Medium,0.7,0.005,4–6,42.0,93.0,Alcohol,Synthetic,Sweet candy warmth
NOTE-0639,Helional,Helional,1205-17-0,Top / Heart,Medium,"Fresh, Marine",Aldehyde,Fresh / Aquatic,"Watery, floral",180.25,268,Medium,2.7,0.02,3–5,35.0,95.0,Alcohol,Synthetic,Watery floral aldehyde
NOTE-0651,Floralozone,Floralozone,67634-15-5,Top,Medium,"Marine, Floral",Ketone,Ozonic / Floral,"Airy, metallic",198.3,285,Medium,3.4,0.01,2–3,30.0,110.0,Alcohol,Synthetic,Clean ozonic air
NOTE-0193,Hedione,Methyl dihydrojasmonate,24851-98-7,Heart,Medium,"Floral, Fresh",Ester,Floral / Jasmine,"Transparent, diffusive",226.31,273,Medium,3.1,0.01,6–8,50.0,110.0,Alcohol,Synthetic,Airy jasmine diffusion
NOTE-0498,Dihydromyrcenol,Dihydromyrcenol,18479-58-8,Top,Medium,"Fresh, Fougere",Terpenoid Alcohol,Fresh / Citrus,"Clean, laundry-like",156.27,215,High,3.3,0.02,2–3,25.0,73.0,Alcohol,Synthetic,Clean modern freshness
NOTE-0685,Lyral,Hydroxyisohexyl cyclohexene carboxaldehyde,,Heart,Medium,Floral,Aldehyde,Floral / Fresh,Soft lily,198.3,282,Medium,3.4,0.01,4–6,40.0,110.0,Alcohol,Synthetic,Soft lily-of-valley
NOTE-0686,Lilial,Butylphenyl methylpropional,80-54-6,Heart,Medium,Floral,Aldehyde,Floral / Sweet,Sweet floral,204.3,267,Medium,3.3,0.01,4–6,40.0,102.0,Alcohol,Synthetic,Sweet floral aldehyde
NOTE-0687,Hydroxycitronellal,Hydroxycitronellal,107-75-5,Heart,Medium,Floral,Aldehyde,Floral / Muguet,"Fresh, watery",172.26,241,Medium,2.9,0.01,4–6,42.0,96.0,Alcohol,Synthetic,Classic muguet
NOTE-0534,Ionone Alpha,α-Ionone,127-41-3,Heart,Medium,"Floral, Powdery",Ketone,Floral / Woody,"Violet, woody",192.3,262,Medium,3.0,0.01,6–8,55.0,108.0,Alcohol,Synthetic,Violet-woody floral
NOTE-0648,Ionone Beta,β-Ionone,,Heart,Medium,"Floral, Fruity",Ketone,Floral / Fruity,Sweet violet,192.3,262,Medium,3.0,0.01,6–8,55.0,108.0,Alcohol,Synthetic,Sweet violet nuance
NOTE-0504,Damascenone,β-Damascenone,23726-91-2,Heart,Strong,"Floral, Fruity",Ketone,Fruity / Floral,"Jammy, rose",190.28,290,Low,3.1,2e-05,8–12,65.0,120.0,Alcohol,Rose distillate,Jammy rose power
NOTE-0688,Safranal,Safranal,116-26-7,Heart,Medium,"Leather, Spicy",Aldehyde,Spicy / Leather,"Dry, leathery",150.22,230,Medium,2.1,0.01,4–6,45.0,70.0,Alcohol,Saffron,Dry leathery spice
NOTE-0463,Evernyl,Methyl atranol,4707-47-5,Base,Medium,"Chypre, Fougere",Aromatic Ether,Mossy / Woody,Oakmoss-like,196.2,275,Low,3.7,0.001,12–24,80.0,115.0,Alcohol,Synthetic,Oakmoss replacer
NOTE-0644,Veramoss,Chlorinated phenyl ether,68155-66-8,Base,Medium,Chypre,Aromatic Ether,Mossy / Green,"Green, mossy",280,300,Low,4.0,0.001,24+,85.0,130.0,Alcohol,Synthetic,Modern moss note
NOTE-0689,Amber Xtreme,Amber Xtreme,68901-15-5,Base,Strong,"Amber, Woody",Amberoid,Amber / Woody,"Dry, powerful",234.38,295,Very Low,5.4,5e-05,24+,98.0,140.0,Alcohol,Synthetic,Extremely strong amber
NOTE-0623,Cypriol (Nagarmotha),Cypriol oil,91771-62-9,Base,Medium,"Woody, Leather",Sesquiterpene,Woody / Smoky,"Dry, smoky, earthy",220+,290,Low,4.3,0.001,24+,88.0,115.0,Alcohol,Cypriol root,Dry smoky woody
NOTE-0300,Papyrus,Sesquiterpenes,91722-79-1,Base,Medium,"Woody, Aromatic",Terpenoid,Woody / Dry,"Papery, dry",220+,285,Low,4.1,0.002,12–24,80.0,110.0,Alcohol,Papyrus plant,Dry papery wood
NOTE-0023,Amyris,Amyrol,8015-65-4,Base,Medium,"Woody, Amber",Sesquiterpene Alcohol,Woody / Sweet,"Soft, balsamic",222.37,288,Low,4.0,0.002,12–24,78.0,108.0,Alcohol,Amyris wood,Sweet sandalwood-like
NOTE-0690,Palo Santo,Limonene rich,959130-05-6,Heart / Base,Medium,"Woody, Fresh",Terpene,Woody / Citrus,"Citrus, resinous",136.24,176,Medium,4.2,0.02,6–10,55.0,50.0,Alcohol,Palo santo wood,Sacred citrus wood
NOTE-0691,Bois de Rose,Linalool rich,8015-77-8,Heart,Medium,"Woody, Floral",Terpenoid Alcohol,Woody / Floral,"Soft, rosy, woody",154.25,198,Medium,2.9,0.01,4–6,40.0,75.0,Alcohol,Rosewood,Rosy soft wood
NOTE-0692,Juniper Berry,α-Pinene,8012-91-7,Top,Medium,"Aromatic, Woody",Terpene,Aromatic / Fresh,"Gin-like, fresh",136.24,156,High,4.0,0.03,1–2,20.0,33.0,Alcohol,Juniper berries,Fresh aromatic bite
NOTE-0693,Hinoki,Terpenes,91771-45-8,Base,Medium,"Woody, Fresh",Terpene,Woody / Clean,"Clean, cedar-like",204+,280,Low,4.1,0.001,12–24,82.0,110.0,Alcohol,Hinoki wood,Clean sacred wood
NOTE-0003,Agarwood (Oud),Agarol,8022-34-2,Base,Strong,"Oud, Amber",Sesquiterpene,Woody / Animalic,"Dark, resinous",220+,300,Very Low,5.0,0.0002,24+,95.0,140.0,Alcohol,Agarwood resin,Deep resinous oud
NOTE-0607,Oud Synthetic,Agarwood replacer,-,Base,Medium,"Oud, Amber",Aromatic Blend,Woody / Amber,"Smooth, woody",—,—,Very Low,4.8,0.0003,24+,90.0,130.0,Alcohol,Synthetic,Clean oud effect
NOTE-0694,Costus,Costus oil,8023-88-9,Base,Strong,"Animalic, Leather",Lactone,Animalic / Rooty,"Animalic, oily",240+,290,Low,4.2,0.001,24+,92.0,120.0,Alcohol,Costus root,Oily animalic root
NOTE-0695,Angelica Root,α-Pinene rich,8015-64-3,Heart / Base,Medium,"Musky, Green",Terpene,Musky / Green,"Earthy, musky",136.24,156,Medium,4.0,0.01,6–10,55.0,33.0,Alcohol,Angelica root,Musky green root
NOTE-0696,Carrot Seed,Carotol,8015-88-1,Heart,Medium,"Powdery, Woody",Sesquiterpene Alcohol,Earthy / Powdery,"Earthy, powdery",222.37,285,Low,4.0,0.01,6–10,58.0,110.0,Alcohol,Carrot seeds,Earthy powder root
NOTE-0697,Fenugreek,Sotolone,28664-35-9,Base,Strong,Gourmand,Lactone,Maple / Gourmand,"Maple, curry",128.13,260,Low,1.3,0.001,12–24,75.0,110.0,Alcohol,Fenugreek seeds,Maple gourmand
NOTE-0468,Hay Absolute,Coumarin rich,8042-47-5,Base,Medium,"Fougere, Gourmand",Aromatic Extract,Dry / Sweet,"Hay, tobacco",146.14,300,Low,1.6,0.002,12–24,80.0,150.0,Alcohol,Dried hay,Dry sweet hay
NOTE-0038,Beeswax,Long-chain esters,8012-89-3,Base,Medium,"Honey, Amber",Ester,Waxy / Honey,"Waxy, warm",300+,300,Very Low,6.0,0.001,24+,90.0,160.0,Alcohol,Beeswax,Warm waxy base
NOTE-0698,Civet (Synthetic),Civetone blend,-,Base,Strong,Animalic,Macrocyclic Ketone,Animalic / Musky,"Fecal, warm",—,—,Very Low,4.5,0.0001,24+,95.0,160.0,Alcohol,Synthetic,Animalic warmth
NOTE-0699,Amber Seed,Ambrette seed oil,8015-62-1,Base,Medium,"Musky, Floral",Macrocyclic Alcohol,Musky / Floral,Pear-like musk,222.37,290,Low,3.8,0.001,24+,85.0,115.0,Alcohol,Ambrette seeds,Natural plant musk
NOTE-0240,Lotus,Linalool rich,8024-92-6,Heart,Medium,"Floral, Aquatic",Terpenoid,Floral / Aquatic,"Watery, soft",154.25,198,Medium,2.9,0.02,4–6,42.0,75.0,Alcohol,Lotus flower,Watery floral calm
NOTE-0294,Osmanthus,Ionones & lactones,92347-21-2,Heart,Medium,"Floral, Fruity",Ketone / Lactone,Floral / Fruity,"Apricot, leather",192+,280,Low,3.2,0.002,6–10,55.0,115.0,Alcohol,Osmanthus flower,Apricot-leather floral
NOTE-0402,Tuberose,Methyl benzoate rich,8014-17-3,Heart,Strong,"Floral, White Floral",Aromatic Ester,Floral / Creamy,"Creamy, narcotic",136.15,200,Medium,2.1,0.01,6–10,55.0,82.0,Alcohol,Tuberose flowers,Intoxicating white floral
NOTE-0506,Helvetolide,Helvetolide,141773-73-1,Base,Medium,"Musky, Fruity",Macrocyclic Ester,Musky / Fruity,"Pear-like, soft",254.37,320,Very Low,4.2,0.0003,24+,90.0,150.0,Alcohol,Synthetic,Fruity clean musk
NOTE-0476,Habanolide,Habanolide,1725-17-7,Base,Medium,"Musky, Clean",Macrocyclic Musk,Musky / Metallic,"Clean, metallic",256.4,330,Very Low,4.4,0.0002,24+,92.0,155.0,Alcohol,Synthetic,Bright modern musk
NOTE-0661,Romandolide,Romandolide,236391-76-7,Base,Medium,"Musky, Floral",Macrocyclic Lactone,Musky / Creamy,"Creamy, soft",270+,340,Very Low,4.6,0.0002,24+,94.0,160.0,Alcohol,Synthetic,Soft creamy musk
NOTE-0507,Ambrettolide,Ambrettolide,28645-51-4,Base,Medium,"Musky, Powdery",Macrocyclic Lactone,Musky / Sweet,"Sweet, powdery",268.4,340,Very Low,4.7,0.0002,24+,95.0,165.0,Alcohol,Synthetic / ambrette,Sweet powdery musk
NOTE-0700,Velvione,Velvione,3391-83-1,Base,Medium,"Musky, Woody",Polycyclic Musk,Musky / Woody,"Woody, soft",258.4,300,Very Low,5.1,0.0003,24+,88.0,150.0,Alcohol,Synthetic,Woody clean musk
NOTE-0617,Muscenone,Muscenone,2550-26-7,Base,Strong,"Musky, Animalic",Macrocyclic Ketone,Musky / Animalic,"Warm, sensual",252.4,335,Very Low,4.4,0.0001,24+,96.0,160.0,Alcohol,Synthetic,Animalic musk tone
NOTE-0701,Cashmeran (High Purity),Cashmeran,33704-61-9,Base,Medium,"Woody, Musky",Polycyclic Ketone,Woody / Musky,"Warm, velvety",206.33,241,Low,4.4,0.0005,18–24,85.0,96.0,Alcohol,Synthetic,Warm woody musk
NOTE-0702,Sylkolide,Sylkolide,104-61-0,Base,Medium,"Musky, Creamy",Lactone,Musky / Creamy,"Milky, soft",170.25,280,Low,2.9,0.01,6–10,55.0,115.0,Alcohol,Synthetic,Milky soft musk
NOTE-0703,Fixolide,Fixolide,1222-05-5,Base,Medium,"Musky, Floral",Polycyclic Musk,Musky / Sweet,"Sweet, powdery",258.4,300,Very Low,5.8,0.0005,24+,85.0,150.0,Alcohol,Synthetic,Sweet powdery musk
NOTE-0704,Z11 Musk,Macrocyclic ketone,-,Base,Medium,Musky,Macrocyclic Ketone,Musky / Clean,"Clean, neutral",—,—,Very Low,4.5,0.0002,24+,90.0,155.0,Alcohol,Synthetic,Neutral clean musk
NOTE-0641,Ambrocenide,Ambrocenide,153898-62-5,Base,Strong,"Amber, Woody",Amberoid,Amber / Woody,Extremely diffusive,234.38,285,Very Low,5.6,5e-05,24+,98.0,140.0,Alcohol,Synthetic,Powerful modern amber
NOTE-0633,Georgywood,Georgywood,40366-39-0,Base,Medium,"Woody, Amber",Polycyclic Alcohol,Woody / Amber,"Dry, clean",222.37,282,Very Low,4.9,0.0002,24+,92.0,130.0,Alcohol,Synthetic,Clean dry wood
NOTE-0659,Javanol,Javanol,198404-98-7,Base,Medium,"Woody, Amber",Terpene Alcohol,Woody / Creamy,Creamy sandalwood,238.37,295,Very Low,5.1,0.0002,24+,94.0,135.0,Alcohol,Synthetic,Modern sandalwood
NOTE-0705,Polysantol,Polysantol,107898-54-4,Base,Medium,"Woody, Oriental",Terpene Alcohol,Woody / Sweet,Sweet sandalwood,238.37,295,Very Low,5.0,0.0003,24+,93.0,135.0,Alcohol,Synthetic,Sweet creamy wood
NOTE-0660,Bacdanol,Bacdanol,28219-61-6,Base,Medium,"Woody, Floral",Terpene Alcohol,Woody / Floral,"Soft, rosy wood",224.36,285,Low,4.2,0.001,18–24,85.0,120.0,Alcohol,Synthetic,Soft floral wood
NOTE-0461,Sandalore,Sandalore,65113-99-7,Base,Medium,"Woody, Powdery",Terpene Alcohol,Woody / Powdery,Powdery sandalwood,238.37,295,Very Low,5.0,0.0002,24+,94.0,135.0,Alcohol,Synthetic,Powdery sandalwood
NOTE-0706,Okoumal,Okoumal,131675-38-0,Base,Medium,Woody,Aromatic Alcohol,Woody / Clean,"Dry, cedar-like",218.33,280,Low,4.3,0.001,18–24,85.0,120.0,Alcohol,Synthetic,Dry modern cedar
NOTE-0707,Clearwood,Clearwood,110677-62-4,Base,Medium,"Woody, Earthy",Terpene Alcohol,Woody / Patchouli,"Clean, patchouli",224.36,290,Low,4.4,0.001,18–24,88.0,125.0,Alcohol,Synthetic,Clean patchouli
NOTE-0708,Timber Silk,Timber silk,54464-57-2,Base,Medium,"Woody, Amber",Aromatic Ether,Woody / Amber,"Soft, diffusive",234.38,275,Low,4.5,0.0006,24+,88.0,110.0,Alcohol,Synthetic,Soft woody diffusion
NOTE-0709,Ebanol,Ebanol,67801-20-1,Base,Medium,"Woody, Amber",Terpene Alcohol,Woody / Creamy,"Creamy, rich wood",238.37,295,Very Low,5.1,0.0002,24+,95.0,135.0,Alcohol,Synthetic,Rich sandalwood tone
NOTE-0710,Veratraldehyde,Veratraldehyde,120-14-9,Heart,Medium,"Gourmand, Powdery",Aromatic Aldehyde,Powdery / Sweet,"Almond, vanilla-like",166.17,281,Low,1.4,0.01,4–6,40.0,110.0,Alcohol,Synthetic,Soft sweet powder
NOTE-0662,Anisaldehyde,p-Anisaldehyde,0123-11-5,Heart,Medium,"Gourmand, Floral",Aromatic Aldehyde,Sweet / Anisic,"Sweet, almond, anise",136.15,248,Medium,2.1,0.01,4–6,38.0,83.0,Alcohol,Anise seeds,Sweet anisic warmth
NOTE-0711,Anethole,Anethole,104-46-1,Heart,Medium,"Spicy, Gourmand",Phenylpropene,Sweet / Spicy,"Licorice, warm",148.2,234,Medium,3.0,0.01,6–8,45.0,87.0,Alcohol,Star anise,Sweet licorice spice
NOTE-0712,Estragole,Estragole,140-67-0,Top / Heart,Medium,"Aromatic, Sweet",Phenylpropene,Sweet / Herbal,"Sweet basil, anise",148.2,216,Medium,2.7,0.02,2–4,30.0,87.0,Alcohol,Basil,Sweet herbal anise
NOTE-0713,Safrole,Safrole,94-59-7,Heart,Medium,"Spicy, Woody",Phenylpropene,Spicy / Rooty,"Warm, rooty",162.19,232,Medium,2.2,0.01,4–6,42.0,83.0,Alcohol,Sassafras,Warm root spice
NOTE-0714,Eugenyl Acetate,Eugenyl acetate,93-28-7,Heart,Medium,"Spicy, Floral",Aromatic Ester,Spicy / Sweet,Sweet clove,206.24,281,Low,2.6,0.005,6–8,48.0,115.0,Alcohol,Clove buds,Sweet clove ester
NOTE-0715,Methyleugenol,Methyleugenol,93-15-2,Heart,Medium,"Spicy, Gourmand",Phenylpropene,Spicy / Sweet,Sweet clove,178.23,254,Medium,2.4,0.005,6–8,50.0,99.0,Alcohol,Basil / clove,Sweet clove warmth
NOTE-0716,Vanillyl Acetate,Vanillyl acetate,881-68-5,Base,Medium,Gourmand,Aromatic Ester,Sweet / Vanilla,Creamy vanilla,196.2,300,Low,1.2,0.001,12–24,70.0,150.0,Alcohol,Vanilla,Creamy vanilla fix
NOTE-0456,Vanillin,Vanillin,121-33-5,Base,Medium,Gourmand,Aromatic Aldehyde,Sweet / Vanilla,Warm vanilla,152.15,285,Low,1.2,0.001,12–24,75.0,147.0,Alcohol,Vanilla beans,Classic vanilla
NOTE-0538,Ethyl Vanillin,Ethyl vanillin,121-32-4,Base,Strong,Gourmand,Aromatic Aldehyde,Sweet / Vanilla,Strong vanilla,166.17,285,Low,1.4,0.0005,12–24,80.0,150.0,Alcohol,Synthetic,Intense vanilla
NOTE-0717,Piperonal,Piperonal,120-57-0,Heart,Medium,"Floral, Gourmand",Aromatic Aldehyde,Sweet / Floral,Heliotrope,150.13,263,Medium,1.6,0.01,4–6,40.0,110.0,Alcohol,Synthetic,Powdery heliotrope
NOTE-0484,Heliotropin,Piperonal,120-57-0,Heart,Medium,"Powdery, Floral",Aromatic Aldehyde,Powdery / Sweet,"Almond, vanilla",150.13,263,Medium,1.6,0.01,4–6,40.0,110.0,Alcohol,Synthetic,Soft powder almond
NOTE-0718,Cyclotene,Cyclotene,80-71-7,Heart,Medium,Gourmand,Lactone,Sweet / Caramel,"Maple, sugar",112.13,187,Medium,0.2,0.01,3–5,35.0,76.0,Alcohol,Coffee,Maple caramel
NOTE-0719,Furaneol,Furaneol,3658-77-3,Heart,Strong,"Gourmand, Fruity",Lactone,Sweet / Fruity,Strawberry sugar,128.13,170,Medium,0.3,0.001,4–6,40.0,72.0,Alcohol,Pineapple,Jammy sweetness
NOTE-0720,Sotolone,Sotolone,28664-35-9,Base,Strong,"Gourmand, Spicy",Lactone,Sweet / Spicy,"Maple, curry",128.13,260,Low,1.3,0.001,12–24,75.0,110.0,Alcohol,Fenugreek,Curry-maple note
NOTE-0721,Coumarin (Refined),Coumarin,91-64-5,Base,Medium,"Fougere, Gourmand",Benzopyrone,Sweet / Hay,"Hay, almond",146.14,302,Low,1.6,0.01,12–24,78.0,151.0,Alcohol,Tonka bean,Sweet hay fixative
NOTE-0722,Deertongue,Coumarin rich,90063-60-6,Base,Medium,Fougere,Aromatic Extract,Sweet / Hay,Sweet hay,146+,300,Low,1.6,0.01,12–24,80.0,150.0,Alcohol,Deertongue leaf,Natural coumarin
NOTE-0723,Hay Lactone,γ-Nonalactone,104-61-0,Base,Medium,Gourmand,Lactone,Sweet / Creamy,Creamy hay,170.25,280,Low,2.9,0.01,8–12,55.0,115.0,Alcohol,Synthetic,Creamy hay note
NOTE-0658,Maple Lactone,Maple lactone,5471-51-2,Base,Medium,Gourmand,Lactone,Sweet / Maple,Maple sugar,164.2,293,Low,1.6,0.005,12–24,70.0,115.0,Alcohol,Synthetic,Maple sweetness
NOTE-0724,Toasted Sugar,Cyclopentenolone,80-71-7,Base,Medium,Gourmand,Ketone,Sweet / Burnt,Burnt sugar,112.13,187,Medium,0.2,0.01,8–12,60.0,76.0,Alcohol,Synthetic,Toasted sugar
NOTE-0545,Benzyl Alcohol,Benzyl alcohol,100-51-6,Heart,Low,"Floral, Fruity",Aromatic Alcohol,Floral / Sweet,"Mild, sweet, floral",108.14,205,Medium,1.1,0.02,2–4,30.0,93.0,Alcohol,"Jasmine, fruits",Mild floral solvent note
NOTE-0665,Benzyl Acetate,Benzyl acetate,0140-11-4,Top / Heart,Medium,"Floral, Fruity",Aromatic Ester,Floral / Fruity,"Sweet, jasmine-like",150.17,213,Medium,1.9,0.02,2–4,32.0,102.0,Alcohol,Jasmine,Sweet jasmine ester
NOTE-0524,Benzyl Salicylate,Benzyl salicylate,118-58-1,Base,Medium,"Floral, Oriental",Aromatic Ester,Floral / Balsamic,"Warm, sweet, floral",228.25,300,Low,4.0,0.005,12–24,75.0,150.0,Alcohol,Synthetic,Warm floral fixative
NOTE-0647,Phenethyl Alcohol,Phenethyl alcohol,60-12-8,Heart,Medium,Floral,Aromatic Alcohol,Floral / Rose,"Fresh, rosy",122.16,219,Medium,1.4,0.01,3–5,35.0,85.0,Alcohol,Rose,Natural rose alcohol
NOTE-0725,Phenethyl Acetate,Phenethyl acetate,103-45-7,Top / Heart,Medium,"Floral, Fruity",Aromatic Ester,Floral / Fruity,"Sweet, rosy",164.2,232,Medium,2.1,0.02,2–4,30.0,102.0,Alcohol,Rose,Sweet rosy ester
NOTE-0510,Linalyl Acetate,Linalyl acetate,115-95-7,Top / Heart,Medium,"Floral, Citrus",Terpenoid Ester,Floral / Fresh,"Fresh, bergamot-like",196.29,220,Medium,3.0,0.02,3–5,35.0,74.0,Alcohol,Lavender,Fresh floral ester
NOTE-0726,Geranyl Acetate,Geranyl acetate,105-87-3,Heart,Medium,"Floral, Fruity",Terpenoid Ester,Floral / Fruity,"Sweet, rosy",196.29,235,Medium,3.6,0.01,4–6,40.0,96.0,Alcohol,Geranium,Sweet rosy ester
