Perfume_ID,Perfume_Name,Brand,Fragrance_Family,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Gender,Season,Longevity,Sillage,Description,Mood_Vibe,Occasion
P000058,Byredo Flowerhead,Byredo,Floral,white floral; green; tuberose; musky; amber; animalic; powdery,"Angelica, Lemon, Cranberry","Jasmine Sambac, Tuberose, Rose Petals","Ambergris, Suede",Unisex,"spring, summer",moderate,moderate,"A ceremonial garland worn at dawn — luminous, spiritual, and steeped in tradition.",,
P000059,Maison Francis Kurkdjian À la Rose,MFK,Floral,rose; powdery; floral; citrus; violet; musky; woody; fresh spicy,Calabrian bergamot; Litchi; Pear,Bulgarian Rose; Grasse Rose; Violet; Sweet Pea,"Cedar, Musk",Unisex,"spring, summer",moderate,moderate,"A ballet of grace and light — poised, airy, and effortlessly romantic.",,
P000060,Diptyque Eau Rose,Diptyque,Floral Fruity,rose; fruity; floral; fresh spicy; aromatic; musky; citrus; woody; tropical; powdery,Litchi; Black Currant; Bergamot,Rose; Geranium; Jasmine,Musk; White Honey; Virginia Cedar,Unisex,spring,moderate,soft,"A morning stroll through dew-laced petals — delicate, poetic, and quietly enchanting.",,
P000061,Tom Ford Black Orchid,Tom Ford,Floral Oriental,"floral, earthy, gourmand","Truffle, Ylang-Ylang, Bergamot, Blackcurrant","Orchid, Lotus Wood, Fruity Notes","Patchouli, Incense, Vanilla, Vetiver",Unisex,"fall, winter",long lasting,strong,"A forbidden bloom in a velvet box — dark, hypnotic, and dripping with desire.",,
P000062,Narciso Rodriguez For Her EDP,Narciso Rodriguez,Floral Woody Musk,musky; rose; powdery; woody; patchouli; warm spicy; fruity; amber; floral; sweet,Rose; Peach,"Musk, Amber",Patchouli; Sandalwood,Female,"fall, spring, winter, autumn, day, night",moderate,moderate,"A soft whisper behind silk curtains — intimate, powdery, and endlessly magnetic.",,
P000063,Jo Malone Peony & Blush Suede,Jo Malone,Floral,floral; rose; fresh; leather; fruity; musky,Red Apple,"Peony, Jasmine, Carnation, Rose",Suede,Female,"spring, summer, day",moderate,moderate,"A flirtatious smile at a garden party — charming, polished, and full of mischief.",,
P000064,Chloé Eau de Parfum,Chloé,Floral,floral; rose; fresh; fruity; white floral,"Peony, Freesia, Litchi","Rose, Lily-of-the-Valley, Magnolia","Cedar, Amber",Female,"spring, fall, day",moderate,moderate,"A linen dress billowing in the breeze — fresh, feminine, and effortlessly graceful.",,
P000065,Replica Springtime in a Park,Maison Margiela,Floral Fruity,white floral; fresh; musky; fruity; green; sweet; aquatic; powdery; soapy,Lily-of-the-Valley; Pear; Musk,Lily-of-the-Valley; Pear; Musk,Lily-of-the-Valley; Pear; Musk,Unisex,"spring, day",moderate,soft,"A stroll through blooming trees after rain — tender, luminous, and full of quiet joy.",,
P000066,Lancôme Idôle,Lancôme,Floral,rose; musky; fruity; sweet; white floral; powdery; floral; citrus; aquatic; vanilla,"Bergamot, Pear, Pink Pepper","Rose, Jasmine","White Musk, Vanilla, Cedar, patchouli",Female,"spring, summer, day",moderate,moderate,"A modern muse in motion — sleek, radiant, and unapologetically optimistic.",,
P000067,Bvlgari Rose Goldea,Bvlgari,Floral Woody Musk,rose; floral; woody; musky; powdery; fresh; fresh spicy; white floral,Rose; Musk; Pomegranate; Bergamot,Damask Rose; Peony; Jasmine; Peach,Musk; Sandalwood; Olibanum; Vanilla,Female,"spring, fall, day",moderate,moderate,"A rose carved in gold — regal, luminous, and steeped in sensuality.",,
P000068,Amouage Honour Woman,Amouage,Floral,white floral; tuberose; green; aromatic; animalic,"Pepper, Rhubarb, Coriander",Gardenia; Tuberose; Jasmine; Lily-of-the-Valley; Carnation,Amber; Incense; Opoponax; Vetiver; Leather,Female,"spring, summer, day",very long lasting,heavy,"A white veil in a cathedral breeze — pure, sacred, and hauntingly beautiful.",,
P000069,Frederic Malle Carnal Flower,Frederic Malle,Floral,woody; coconut; camphor; white floral; sweet; musky; aromatic; tuberose; citrus; ozonic,Eucalyptus; Melon; Bergamot; Galbanum,Coconut; Tuberose; Jasmine; Ylang-Ylang; Orange Blossom,White Musk; Animal notes; Amber,Unisex,"spring, summer",long lasting,strong,"A forbidden bloom in moonlight — lush, narcotic, and dangerously seductive.",,
P000070,Penhaligon’s Elisabethan Rose,Penhaligon’s,Floral,rose; woody; fruity; nutty; floral; citrus; sweet; powdery; musky; aromatic,Hazelnut; Tangerine; Almond; Cinnamon,May Rose; Rose Oil; Rose; Black Currant; Red Lily; Plum; Geranium,Musk; Woody Notes; Violet; Vetiver; Orris Root,female,"spring, fall,day",moderate,moderate,"A rose reborn in a forgotten manor — crisp, noble, and steeped in heritage.",,
P000071,Maison Crivelli Rose Saltifolia,Maison Crivelli,Floral Aquatic,marine; rose; salty; aromatic; aquatic; musky; sand,Rose; Sea water; Sea Salt; Seaweed; Musk; Pink Pepper; Sand; Woody Notes,Rose; Sea water; Sea Salt; Seaweed; Musk; Pink Pepper; Sand; Woody Notes,Rose; Sea water; Sea Salt; Seaweed; Musk; Pink Pepper; Sand; Woody Notes,Unisex,"summer,spring,day",moderate,moderate,"A sea breeze through a rose garden — windswept, crystalline, and quietly surreal.",,
P000072,Tom Ford Métallique,Tom Ford,Floral Aldehyde,vanilla; aldehydic; powdery; floral; fresh; balsamic; woody; musky; sweet; amber,"Aldehydes, Bergamot, Pink Pepper","Heliotrope, Hawthorn, Lily-of-the-Valley",Vanilla; Ambrette (Musk Mallow); Peru Balsam; Sandalwood,Female,"fall, winter,day, spring",moderate,moderate,"A silver sheath over bare skin — cool, polished, and quietly provocative.",,
P000073,Diptyque Do Son,Diptyque,Floral,tuberose; white floral; animalic; green,"African Orange Flower, Rose, Iris",Tuberose,"Benzoin, Musk",Unisex,"spring, summer",moderate,moderate,"A memory of coastal winds and temple incense — nostalgic, serene, and dreamlike.",,
P000074,Gucci Flora Gorgeous Gardenia,Gucci,Floral Fruity,white floral; floral; sweet; fruity; patchouli; lactonic; citrus; fresh,Pear Blossom; Red Berries; Italian Mandarin,Gardenia; Jasmine; Frangipani,Brown sugar; Patchouli,Female,"spring, summer,day",moderate,moderate,"A pastel daydream in bloom — joyful, whimsical, and dipped in sweetness.",,
P000075,Aerin Ikat Jasmine,Aerin,Floral,white floral; tuberose; fruity; woody; animalic,"Jasmine Sambac, Honeysuckle","Jasmine Egypt Infusion, Tuberose","Sandalwood, Ambrox",Female,"spring, summer,day",moderate,moderate,"A silk robe on sun-warmed skin — graceful, luminous, and quietly sensual.",,
P000076,Parfums de Marly Delina,Parfums de Marly,Floral Fruity,rose; floral; fruity; fresh; musky; green; aromatic; powdery; tropical; woody,Litchi; Rhubarb; Bergamot; Nutmeg,Turkish Rose; Peony; Musk; Petalia; Vanilla,Cashmeran; Incense; Cedar; Haitian Vetiver,Female,"spring, fall, summer,night",long lasting,strong,"A porcelain doll with a hidden flame — delicate, dazzling, and fiercely feminine.",,
P000077,Hermès Un Jardin Sur Le Nil,Hermès,Floral Green,citrus; aromatic; floral; fresh spicy; green; fruity; tropical; powdery; herbal; sweet,Grapefruit; Green Mango; Tomato; Carrot,Lotus; Bulrush; Orange; Hiacynth; Peony,Musk; Iris; Incense; Labdanum; Cinnamon,Unisex,"spring, summer, day",moderate,moderate,"A watercolor sketch of a riverside garden — breezy, serene, and full of wonder.",,
P000078,Maison Margiela Replica Flower Market,Maison Margiela,Floral Green,white floral; floral; tuberose; green; rose,"Green Leaves, Freesia",Tuberose; Jasmine Sambac; Egyptian Jasmine; Rose de Mai,"Peach, Cedar, Oakmoss",Female,spring,moderate,moderate,"Buckets of blooms in a morning market — dewy, bustling, and full of life.",,
P000079,Jean Paul Gaultier La Belle,Jean Paul Gaultier,Amber Floral,vanilla; fruity; sweet; powdery; aquatic; aromatic; amber; woody; fresh; flora,"Pear, Bergamot","Floral Notes, leather","Vanilla, Vetiver, Amber, musk",Female,"fall, winter",long lasting,strong,"A siren in a crimson corset — sultry, addictive, and impossible to ignore.",,
P000080,BDK Parfums Bouquet de Hongrie,BDK Parfums,Floral Fruity,fruity; sweet; rose; musky; woody; powdery; amber; white floral; fresh; floral,Pear; Strawberry; Cassis,Turkish Rose; Jasmine Sambac; Lorenox,Musk; Amber; Cedar,women,"spring, summer, day",moderate,moderate,"A spring morning in Budapest — elegant, airy, and full of quiet charm.",,
P000081,Montale Intense Tiaré,Montale,Floral,white floral; sweet; vanilla; coconut; yellow floral; fruity,Tiare Flower,"Jasmine, Rose","Vanilla, Ylang-Ylang",Unisex,"summer,day",eternal,heavy,"A tropical crown of petals — radiant, exotic, and sun-drenched with indulgence.",,
P000082,Tom Ford Black Orchid,Tom Ford,Floral Oriental,warm spicy; earthy; woody; sweet; amber; patchouli; floral; chocolate; powdery; balsamic,Truffle; Gardenia; Black Currant; Ylang-Ylang; Jasmine; Bergamot; Amalfi Lemon Mandarin Orange,Orchid; Spices; Gardenia; Fruity Notes; Ylang-Ylang; Jasmine; Lotus,Mexican chocolate; Patchouli; Vanille; Incense; Amber; Sandalwood; Vetiver; White Musk,Male,"fall, winter, night",long lasting,strong,"A forbidden bloom in a velvet box — dark, hypnotic, and dripping with desire.",,
P000083,YSL La Nuit de L’Homme Bleu Électrique,Yves Saint Laurent,Floral Fougère,aromatic; fresh spicy; warm spicy; lavender; woody; citrus; herbal,Cardamom; Ginger; Bergamot,Lavender; Geranium; Vetiver; Patchouli,Cedar; Vetiver,Male,"fall, winter,spring,night",moderate,moderate,"A midnight pulse under neon lights — charged, seductive, and alive with tension.",,
P000084,Kenzo Power,Kenzo,Floral Woody,floral; aromatic; amber; warm spicy; citrus; woody; powdery; soft spicy; fresh spicy; sweet,Coriander; Cardamon; Bergamot,"Rose, Jasmine, Freesia",Tolu Balsam; Labdanum; Cedar,Male,"spring, fall",moderate,moderate,"A tailored suit in a quiet café — understated, elegant, and quietly confident.",,
P000085,Versace The Dreamer,Versace,Floral Oriental,white floral; aromatic; iris; fresh spicy; powdery; amber; herbal; woody; violet; soft spicy,Juniper; Tarragon; Artemisia,Iris; Lily; Flax,Tobacco Blossom; Amber,Male,"fall, winter",moderate,moderate,"A love letter folded in time — nostalgic, romantic, and softly mysterious.",,
P000086,Amouage Lyric Man,Amouage,Floral Oriental,rose; citrus; musky; powdery; woody; fresh spicy; amber; floral; aromatic; warm spicy,Lime; Bergamot,Rose; Angelica; Ginger; Orange Blossom; Saffron; Nutmeg; Galbanum,Musk; Incense; Pine Tree; Sandalwood; Vanilla,Male,"fall, winter, spring, night, summer",eternal,strong,"A crimson echo in a marble hall — regal, haunting, and steeped in mystique.",,
P000087,Comme des Garçons Series 2: Rose,Comme des Garçons,Floral,rose; fruity; sweet; fresh spicy; warm spicy; aromatic; floral,"Rose, Mint","Cinnamon, Clove","Vetiver, Musk",Male,"spring, fall",moderate,moderate,"A rose dissected under moonlight — sharp, modern, and defiantly unconventional.",,
P000088,Gucci Pour Homme II,Gucci,Floral Woody Spicy,warm spicy; ozonic; green; cinnamon; tobacco; aquatic; fresh; sweet; amber; citrus,Violet Leaf; Bergamot,Black Tea; Cinnamon; Pimento,Tobacco Leaf; Myrrh; Musk; Olive Tree,Male,"fall, winter",moderate,moderate,"A velvet lounge in twilight — smooth, contemplative, and quietly magnetic.",,
P000089,Diptyque Eau Rose,Diptyque,Floral Fruity,rose; fruity; floral; fresh spicy; aromatic; musky; citrus; woody; tropical; powdery,Litchi; Black Currant; Bergamot,Rose; Geranium; Jasmine,Musk; White Honey; Virginia Cedar,female,"spring, summer, day",moderate,moderate,"A morning stroll through dew-laced petals — delicate, poetic, and quietly enchanting.",,
P000090,Frederic Malle Geranium Pour Monsieur,Frederic Malle,Floral Aromatic,aromatic; fresh spicy; green; warm spicy; rose; amber; anis; herbal; soft spicy; powdery,Mint; Geranium; Star Anise; Basil,Clove; Cinnamon; Eucalyptus; Lily of the Valley,Musk; Sandalwood; Incense; Styrax; Benzoin; Ambroxan,Male,"spring, summer,day",moderate,moderate,"A crisp collar and a clean shave — classic, refreshing, and impeccably groomed.",,
P000091,Bvlgari Pour Homme Soir,Bvlgari,Floral Woody Musk,green; woody; citrus; amber; fresh spicy; fresh; leather; ozonic,Darjeeling Tea,Papyrus,"Amber, Musk",Male,"fall, winter,day, spring,night",moderate,moderate,"A quiet evening in a smoky library — refined, introspective, and effortlessly masculine.",,
P000092,YSL Black Opium,Yves Saint Laurent,Amber Gourmand,citrus; white floral; coffee; woody; warm spicy; fruity; sweet; fresh; patchouli; musky,Pear; Coffee; Lemon; Bergamot,Jasmine Sambac; Orange Blossom,Cedar; Patchouli; Musk,Female,"fall, winter,spring,summer,night",moderate,moderate,"A midnight rendezvous in a velvet lounge — addictive, electric, and pulsing with desire.",,
P000093,Mugler Angel,Mugler,Oriental Gourmand,sweet; patchouli; fruity; warm spicy; caramel; vanilla; woody; honey; powdery; chocolate,Cotton Candy; Coconut; Cassis; Melon; Jasmine; Bergamot; Pineapple; Mandarin Orange,Honey; Red Berries; Blackberry; Plum; Apricot; Jasmine; Peach; Nutmeg; Caraway; Orchid; Rose; Lily-of-the-Valley,Patchouli; Chocolate; Caramel; Vanilla; Tonka Bean; Amber; Musk; Sandalwood,Female,"winter, night",very long lasting,enormous,"A cosmic dessert swirling through the stars — decadent, daring, and unforgettable.",,
P000094,Kayali Vanilla 28,Kayali,Gourmand,amber; sweet; woody; vanilla; warm spicy; powdery; musky; floral; patchouli,Vanilla Orchid; Jasmine,Brown sugar; Tonka Bean,Amber; Amberwood; Musk; Patchouli,Female,"fall, winter,summer,night",moderate,moderate,"A golden hour embrace — warm, comforting, and wrapped in indulgent softness.",,
P000095,Jean Paul Gaultier La Belle,Jean Paul Gaultier,Amber Gourmand,vanilla; fruity; sweet; powdery; aquatic; aromatic; amber; woody; fresh; floral,"Pear, Bergamot",Floral Notes; Leather,Vanilla; Vetiver; Amber; Musk,Female,"fall, winter,summer,night",long lasting,moderate,"A siren in a crimson corset — sultry, addictive, and impossible to ignore.",,
P000096,Prada Candy,Prada,Oriental Gourmand,caramel; powdery; amber; sweet; vanilla; musky; warm spicy; balsamic,Caramel,Powdery Notes; Musk,"Benzoin, Vanilla",Female,"fall, winter",moderate,moderate,"A sugar-spun daydream — playful, flirtatious, and wrapped in satin.",,
P000097,Initio Side Effect,Initio Parfums Privés,Amber Gourmand,warm spicy; tobacco; rum; cinnamon; woody; sweet,Rum,Cinnamon,"Tobacco, Vanilla",Unisex,"fall, winter",very long lasting,heavy,"A velvet lounge soaked in temptation — smoky, boozy, and dangerously smooth.",,
P000098,Xerjoff Italica,Xerjoff,Gourmand,sweet; almond; lactonic; vanilla; nutty; fruity; powdery; warm spicy; caramel,Almond; Milk; Saffron,Toffee; Bourbon Vanilla,"Sandalwood, Musk",Unisex,"winter,fall,night",long lasting,moderate,"A pastry shop in a marble palace — rich, creamy, and utterly regal.",,
P000099,Maison Tahité Cacao2,Maison Tahité,Gourmand,warm spicy; cacao; amber; woody; vanilla; cinnamon; sweet; aromatic; powdery,Cinnamon,Labdanum,Cacao; Vanilla; Vetiver; Amber; Benzoin; Cedar,Unisex,"fall, winter,night",moderate,moderate,"A velvet truffle melting on the tongue — dark, spiced, and luxuriously smooth.",,
P000100,"Kilian Love, Don’t Be ShyA",Kilian,Floral Gourmand,sweet; white floral; vanilla; citrus; caramel; powdery; musky; animalic,Neroli; Bergamot; Pink Pepper; Coriander,Orange Blossom; Honeysuckle; Jasmine; Marshmallow; Iris; Rose,Sugar; Vanilla; Caramel; Musk; Civet; Labdanum,Female,"spring, fall, winter, fall,night",moderate,moderate,"A candy-coated whisper — innocent, flirtatious, and dripping with charm.",,
P000101,Montale Chocolate Greedy,Montale,Gourmand,vanilla; cacao; warm spicy; sweet; citrus; coffee; powdery; fruity,Bitter Orange,Cacao,"Vanilla, Tonka Bean",Unisex,winter,long lasting,strong,"A molten dessert in a velvet box — indulgent, rich, and unapologetically sweet.",,
P000102,Rochas Man,Rochas,Gourmand,coffee; vanilla; sweet; lavender; woody; powdery; fruity; amber; aromatic; lactonic,"Bergamot, Lavender",Cappuccino; Raspberry; Jasmine; Virginia Cedar; Lily-of-the-Valley,Vanille; Amber; Sandalwood; Patchouli,Male,"fall, winter, summer, night",moderate,moderate,"A café at dusk — smooth, aromatic, and quietly magnetic.",,
P000103,Azzaro The Most Wanted,Azzaro,Amber Gourmand,warm spicy; sweet; amber; woody; caramel,Cardamom,Toffee,"Amber, Vanilla",Male,"fall, winter,night",long lasting,strong,"A gambler’s grin under neon lights — daring, addictive, and impossible to resist.",,
P000104,Jean Paul Gaultier Ultra Male,Jean Paul Gaultier,Amber Gourmand,vanilla; fruity; sweet; aromatic; cinnamon; warm spicy; fresh spicy; lavender; powdery; green,Pear; Lavender; Mint; Bergamot; Lemon,Cinnamon; Clary Sage; Caraway,Black Vanilla Husk; Amber; Patchouli; Cedar,Male,"fall, winter,fall,night",long lasting,enormous,"A rebel’s anthem — bold, playful, and dripping with confidence.",,
P000105,Viktor & Rolf Bonbon,Viktor & Rolf,Floral Gourmand,citrus; sweet; fruity; caramel; white floral; woody,Orange; Tangerine; Grapefruit; Black Currant,Sugar; Peach; Orange Blossom; Jasmine Sambac,Caramel; Cedar; Guaiac Wood; Musk,Female,"winter,summer,spring",moderate,enormous,"A wrapped candy jewel — sparkling, indulgent, and irresistibly chic.",,
P000106,Replica By the Fireplace,Maison Margiela,Woody Gourmand,woody; vanilla; balsamic; warm spicy; amber; powdery; nutty; musky; soft spicy; swe,Cloves; Pink Pepper; Orange Blossom,Chestnut; Guaiac Wood; Juniper,Vanilla; Peru Balsam; Cashmeran,Unisex,"fall, winter,night",long lasting,moderate,"A fireside memory — warm, nostalgic, and wrapped in glowing embers.",,
P000107,Nishane Ani,Nishane,Amber Gourmand,citrus; woody; aromatic; vanilla; fresh; fresh spicy; fruity; warm spicy; powdery; aquatic,Lemon; Bergamot; Ginger; Melon; Cardamom; Water Notes; Pink Pepper,Green Apple; Black Currant; Lavender; Patchouli; Sage; Rose,Vanilla; Sandalwood; Cashmere Wood; Cedar; Ambergris; White Musk,Unisex,"fall, winter,spring,summer,night",long lasting,strong,"A storm breaking into sunlight — fiery, radiant, and endlessly captivating.",,
P000108,Serge Lutens Un Bois Vanille,Serge Lutens,Gourmand,vanilla; sweet; woody; coconut; powdery; soft spicy; beeswax; amber; balsamic; warm spicy,"Coconut, Beeswax","Vanilla, Licorice",Black Licorice; Sandalwood; Tonka Bean; Bitter Almond; Benzoin; Guaiac Wood; Musk,Unisex,"fall, winter",long lasting,moderate,"A candlelit atelier — smoky, resinous, and steeped in artistry.",,
P000109,Guerlain Spiritueuse Double Vanille,Guerlain,Amber Gourmand,vanilla; amber; woody; warm spicy; balsamic; rum; sweet; smoky; powdery; rose,Incense; Pink Pepper; Bergamot,Cedar; Ylang-Ylang; Rose; Jasmine,Vanilla; Benzoin; Rum,Unisex,"fall, winter",long lasting,strong,"A golden chalice of sweetness — intoxicating, regal, and endlessly smooth.",,
P000110,MFK Baccarat Rouge 540 Extrait,Maison Francis Kurkdjian,Amber Gourmand,amber; almond; warm spicy; woody; musky; animalic; nutty; fruity; metallic; white floral,"Bitter Almond, Saffron",Egyptian Jasmine; Virginia Cedar,Ambergris; Woody Notes; Musk; Ambroxan; Cashmeran,Unisex,"fall, winter,spring,night",very long lasting,enormous,"A crystalline flame — radiant, addictive, and shimmering with luxury.",,
P000111,Amouage Overture Man,Amouage,Amber Gourmand,warm spicy; amber; woody; smoky; fresh spicy; animalic; balsamic; aromatic; leather; musky,Cognac; Cumin; Cardamom; Saffron; Nutmeg; Ginger; Grapefruit,Myrrh; Benzoin; Cinnamon; Labdanum; Mastic or Lentisque; Patchouli; Geranium,Animal notes; Smoke; Incense; Leather; Sandalwood; Clary Sage,Male,"fall, winter,night",eternal,enormous,"A grand opera in velvet halls — dramatic, intoxicating, and unforgettable.",,
P000112,Dolce & Gabbana The One Luminous Night,Dolce & Gabbana,Amber Gourmand,amber; fresh spicy; sweet; aromatic; warm spicy; woody; smoky; fruity; balsamic; herbal,Black Pepper; Basil; Bergamot,Dates; Geranium; Sage,Amber; Incense; Sandalwood,Male,"fall, winter, night",long lasting,moderate,"A desert night under jeweled skies — mysterious, warm, and glowing with allure.",,
P000113,Carolina Herrera Good Girl,Carolina Herrera,Floral Gourmand,sweet; white floral; warm spicy; vanilla; amber; cacao; woody; tuberose; almond; powdery,Almond; Coffee; Bergamot; Lemon,Tuberose; Jasmine Sambac; Orange Blossom; Bulgarian Rose; Orris,Tonka Bean; Cacao; Vanilla; Praline; Sandalwood; Musk; Amber; Cashmere Wood; Patchouli; Cinnamon; Cedar,Female,"fall, winter, night, spring",long lasting,moderate,"A stiletto strike in the dark — glamorous, daring, and unapologetically bold.",,
P000114,Paco Rabanne Pure XS,Paco Rabanne,Amber Gourmand,vanilla; sweet; warm spicy; amber; woody; fresh spicy; alcohol; citrus; aromatic; cinnamon,Ginger; Grapefruit; Thyme; Bergamot; Green Accord,Vanilla; Liquor; Cinnamon; Leather; Apple,Myrrh; Sugar; Cedar; Woody Notes; Cashmeran; Patchouli,Male,"fall, winter, night",long lasting,moderate,"A spotlight on velvet skin — provocative, playful, and dripping with heat.",,
P000115,Givenchy L’Interdit Rouge,Givenchy,Amber Gourmand,white floral; tuberose; cacao; warm spicy; sweet; citrus; woody; animalic; patchouli,Tunisian Orange Blossom; Jasmine Sambac; Tunisian Neroli,Indian Tuberose; Cacao Pod,Indonesian Patchouli Leaf; Tobacco; Ambroxan; Haitian Vetiver,Female,"fall, winter,spring,night, day",long lasting,moderate,"A forbidden flame — daring, sensual, and cloaked in mystery.",,
P000116,Mancera Roses Vanille,Mancera,Floral Gourmand,rose; vanilla; powdery; musky; floral; woody; sweet; citrus,Lemon,Rose,"Vanilla, Musk, cedar",Unisex,"fall, winter,spring,summer,night",11K long lasting,strong,"A rose dipped in sugar — lush, decadent, and irresistibly sweet.",,
P000117,Dior Addict,Dior,Amber Gourmand,vanilla; white floral; sweet; fruity; amber; aromatic; citrus; powdery,Blackberry; Mandarin Leaf; Silk Tree blossom,Jasmine; Orange Blossom; Night blooming Cereus; Rose,Vanilla; Tonka Bean; Mysore Sandalwood,Female,"fall, winter,night",eternal,enormous,"A velvet curtain falling on stage — dramatic, sensual, and unforgettable.",,
P000118,Tom Ford Tobacco Vanille,Tom Ford,Amber Gourmand,vanilla; sweet; tobacco; warm spicy; fruity; woody; cacao; powdery,"Tobacco Leaf, Spices",Vanilla; Cacao; Tonka Bean; Tobacco Blossom,Dried Fruits; Woody Notes,Unisex,"fall, winter, night",long lasting,strong,"A gentleman’s lounge — smoky, sweet, and steeped in luxury.",,
P000119,Replica Whispers in the Library,Maison Margiela,Woody Gourmand,woody; vanilla; fresh spicy; powdery; warm spicy,"Pepper, Orange Blossom","Cedar, Vetiver","Vanilla, Tonka Bean",Unisex,"fall, winter,day",moderate,moderate,"A library of forgotten tales — dusty, warm, and quietly enchanting.",,
P000120,Juliette Has a Gun Vanilla Vibes,Juliette Has a Gun,Amber Gourmand,vanilla; salty; powdery; sweet; amber; marine; musky; woody; warm spicy; balsamic,Salt,Vanilla Absolute; Orchid,Tonka Bean; Musk; Sandalwood; Benzoin,Unisex,summer,moderate,moderate,"A desert wind carrying sweetness — radiant, free-spirited, and sun‑kissed with warmth.",,
P000121,Maison Tahité Vanillade,Maison Tahité,Gourmand,vanilla; floral; patchouli; warm spicy; sweet; balsamic; powdery; amber; citrus; woody,Almond Blossom; Citruses; Coconut Blossom,Vanilla Flower; Vanilla,Vanilla; Patchouli; Benzoin; Musk,Unisex,"fall, winter",moderate,moderate,"A golden veil of comfort — soft, enveloping, and endlessly soothing.",,
P000122,Atelier Cologne Vanille Insensée,Atelier Cologne,Woody Gourmand,vanilla; woody; citrus; aromatic; earthy; powdery; sweet; amber; soft spicy; mossy,Lime; Citron; Coriander,Vetiver; oak moss; Jasmine,Vanille; Oak; Amber,Unisex,"winter, fall, summer",moderate,moderate,"A fleeting kiss of sunlight — airy, modern, and quietly magnetic.",,
P000123,Lush Vanillary,Lush,Gourmand,vanilla; white floral; sweet; powdery; amber,Jasmine,Vanilla,tonka,Unisex,"fall, winter",moderate,soft,"A velvet ribbon tied around memory — nostalgic, tender, and irresistibly cozy.",,
P000124,Jo Malone Myrrh & Tonka,Jo Malone,Amber Gourmand,amber; vanilla; sweet; aromatic; warm spicy; balsamic; lavender; almond,Lavender,Myrrh,"Tonka Bean, Vanilla,almond",Unisex,"fall, winter, night",long lasting,moderate,"A desert dusk in amber light — warm, resinous, and steeped in serenity.",,
P000125,Maison Martin Margiela Replica Coffee Break,Maison Margiela,Gourmand,lavender; vanilla; coffee; warm spicy; aromatic; lactonic; fresh spicy; sweet; woody; amber,Pepper; Orange Blossom; Patchouli,Lavender; Coffee; Milk; Tonka Bean; Siam Benzoin; Cypriol Oil or Nagarmotha,Vanilla; Cedar; Vetiver,Unisex,"fall, winter,summer",moderate,moderate,"A café corner in winter — creamy, comforting, and wrapped in quiet indulgence.",,
P000126,Bond No.9 New Haarlem,Bond No.9,Gourmand,coffee; vanilla; warm spicy; lavender; woody; amber; aromatic; patchouli; powdery; sweet,Lavender; Bergamot; Green Leaves,Coffee; Cedar,Vanilla; Patchouli; Tonka Bean; Amber,unisex,"fall, winter,night",long lasting,strong,"A jazz club at midnight — smooth, smoky, and alive with rhythm.",,
P000127,Parfums de Marly Herod,Parfums de Marly,Amber Gourmand,tobacco; vanilla; warm spicy; cinnamon; sweet; amber; woody; musky; powdery; balsamic,Cinnamon; Pepperwood,Tobacco Leaf; Incense; Osmanthus; Labdanum,Vanilla; Iso E Super; Cedar; Musk; Cypriol Oil or Nagarmotha; Vetiver,Male,"fall, winter, night",long lasting,strong,"A regal cloak of smoke — commanding, opulent, and steeped in grandeur.",,
P000128,Maison Tahité Cacao Absolute,Maison Tahité,Gourmand,warm spicy; cacao; sweet; caramel; amber; rum; woody; fruity,Rum; Raspberry; Pink Pepper,Cacao; Amber; Jasmine; Narcissus,Caramel; Benzoin; Sandalwood; Salt; Saffron; Oakmoss,Unisex,"fall, winter",moderate,moderate,"A molten river of cacao — rich, indulgent, and endlessly decadent.",,
P000129,Amouage Journey Woman,Amouage,Amber Gourmand,"fruity, sweet, spicy, vanilla","Apricot, Jasmine Tea","Cardamom, Nutmeg","Vanilla, Cedar",Female,"fall, winter",long lasting,strong,"A silk tapestry woven with spice — exotic, radiant, and full of intrigue.",,
P000130,Terre d’Hermès,Hermès,Woody Spicy,citrus; woody; fresh spicy; aromatic; earthy; warm spicy,"Orange, Grapefruit",Pepper; Pelargonium; Flint,Vetiver; Cedar; Patchouli; Benzoin,Male,"spring, fall,day,",long lasting,moderate,"A walk across sun‑baked earth — grounded, mineral, and quietly powerful.",,
P000131,Gucci Guilty Absolute,Gucci,Woody,woody; leather; aromatic; animalic; earthy; patchouli; smoky,Leather Accord,"Cypress, Patchouli","Vetiver, Goldenwood",Male,"fall, winter",long lasting,strong,"A leather‑bound journal in a smoky study — bold, rugged, and unapologetically raw.",,
P000132,Tom Ford Oud Wood,Tom Ford,Woody Oriental,woody; warm spicy; oud; aromatic; vanilla; balsamic; fresh spicy; amber; powdery; sweet,"Rosewood, Cardamom","Oud, Sandalwood","Vetiver, Tonka Bean, Amber",Unisex,"fall, winter,night",long lasting,strong,"A temple carved in incense smoke — mysterious, exotic, and steeped in luxury.",,
P000133,Creed Aventus,Creed,Woody Fruity,fruity; sweet; woody; leather; citrus; smoky; musky; tropical; fresh; mossy,Bergamot; Black Currant; Apple; Lemon; Pink Pepper,Pineapple; Patchouli; Moroccan Jasmine,Birch; Musk; oak moss; Cedarwood; Ambroxan,Male,"spring,sumer,fall,winter,day,night",long lasting,strong,"A conqueror’s cloak in the wind — bold, charismatic, and legendary.",,
